Frequency,S11,S11-Q,S11-Phase,S11-Phase-Q
4527198663.0,-13.576960572401886,0.0,-2.1780724187857783,0.0
4527213662.9995,-13.573768926369315,0.0,-2.2785795242841482,0.0
4527228662.999,-13.569802139242428,0.0,-2.2327387377348007,0.0
4527243662.9985,-13.573022014543394,0.0,-2.20487419866158,0.0
4527258662.998,-13.573140579189342,0.0,-2.2577601451399727,0.0
4527273662.9975,-13.573180770261859,0.0,-2.2732529041207212,0.0
4527288662.997,-13.572132691001022,0.0,-2.2337175110281327,0.0
4527303662.9965,-13.580178706315596,0.0,-2.222893100114677,0.0
4527318662.996,-13.577123743889567,0.0,-2.227002175244348,0.0
4527333662.9955,-13.563463804697008,0.0,-2.115586302935455,0.0
4527348662.995,-13.57431817818142,0.0,-2.224651260420779,0.0
4527363662.9945,-13.574567146432193,0.0,-2.1755114726407405,0.0
4527378662.994,-13.575310509455658,0.0,-2.2041485474560885,0.0
4527393662.9935,-13.573622133313311,0.0,-2.1886924183358487,0.0
4527408662.993,-13.575471839191609,0.0,-2.2197903151682192,0.0
4527423662.9925,-13.57704009183715,0.0,-2.253920797995219,0.0
4527438662.992,-13.578601678438869,0.0,-2.1836274955508332,0.0
4527453662.9915,-13.578219625001642,0.0,-2.1683091847571343,0.0
4527468662.991,-13.573598819049675,0.0,-2.212302046185383,0.0
4527483662.9905,-13.577215810222965,0.0,-2.166925482036999,0.0
4527498662.99,-13.574464608011848,0.0,-2.1381142500550774,0.0
4527513662.9895,-13.575990257556143,0.0,-2.23978519662395,0.0
4527528662.989,-13.581231759786267,0.0,-2.122916819044142,0.0
4527543662.9885,-13.574241006325419,0.0,-2.1974723424710456,0.0
4527558662.988,-13.584355441593717,0.0,-2.1808375042091845,0.0
4527573662.9875,-13.582460910342187,0.0,-2.1917891746326776,0.0
4527588662.987,-13.572236166235452,0.0,-2.1572816242188337,0.0
4527603662.9865,-13.572887299487215,0.0,-2.187239746037465,0.0
4527618662.986,-13.57381686774846,0.0,-2.095255879210152,0.0
4527633662.9855,-13.572446733751608,0.0,-2.165202299581593,0.0
4527648662.985,-13.573248024039838,0.0,-2.12909772857885,0.0
4527663662.9845,-13.572544259107184,0.0,-2.173996886614913,0.0
4527678662.984,-13.572272945648283,0.0,-2.219086340533983,0.0
4527693662.9835,-13.576936265399857,0.0,-2.1830507213750003,0.0
4527708662.983,-13.577105906827969,0.0,-2.1586097798353285,0.0
4527723662.9825,-13.576677936166114,0.0,-2.185010505961595,0.0
4527738662.982,-13.565995197997909,0.0,-2.152650281740092,0.0
4527753662.9815,-13.567943827425694,0.0,-2.12136980378547,0.0
4527768662.981,-13.581660861930935,0.0,-2.1625568707413,0.0
4527783662.9805,-13.572665655345089,0.0,-2.1097841826740926,0.0
4527798662.98,-13.570751216155095,0.0,-2.1833976769429966,0.0
4527813662.9795,-13.570726592756404,0.0,-2.170817106060787,0.0
4527828662.979,-13.5751353713075,0.0,-2.180268485057183,0.0
4527843662.9785,-13.574568654456158,0.0,-2.1740888471275643,0.0
4527858662.978,-13.571127018282336,0.0,-2.0944395697683493,0.0
4527873662.9775,-13.569067074543739,0.0,-2.1623458250489627,0.0
4527888662.977,-13.582935423389033,0.0,-2.1089760328955176,0.0
4527903662.9765,-13.576695897161903,0.0,-2.1468764109226433,0.0
4527918662.976,-13.574964709408793,0.0,-2.167923064960752,0.0
4527933662.9755,-13.571150434355104,0.0,-2.202154546001354,0.0
4527948662.975,-13.57288416085137,0.0,-2.155059039888254,0.0
4527963662.9745,-13.56674757459765,0.0,-2.2068692916961785,0.0
4527978662.974,-13.575729775607993,0.0,-2.1444148662716143,0.0
4527993662.9735,-13.565163432252023,0.0,-2.145409179913398,0.0
4528008662.973,-13.577317424075538,0.0,-2.150835837933184,0.0
4528023662.9725,-13.576916941012612,0.0,-2.091592687853972,0.0
4528038662.972,-13.573596059933447,0.0,-2.1366745584756086,0.0
4528053662.9715,-13.574757678030148,0.0,-2.1404011501275155,0.0
4528068662.971,-13.577564791569399,0.0,-2.08070743447166,0.0
4528083662.9705,-13.568387589026463,0.0,-2.1723244829072392,0.0
4528098662.97,-13.568557807780937,0.0,-2.1380015798247483,0.0
4528113662.9695,-13.569167701956532,0.0,-2.1734778062583304,0.0
4528128662.969,-13.564655566960093,0.0,-2.1000604236174736,0.0
4528143662.9685,-13.571599898137695,0.0,-2.1343046371434626,0.0
4528158662.968,-13.568480693882478,0.0,-2.1135389688592503,0.0
4528173662.9675,-13.568861953754567,0.0,-2.1261924681832576,0.0
4528188662.967,-13.58153407707496,0.0,-2.130858146271605,0.0
4528203662.9665,-13.568213863211314,0.0,-2.180583404393734,0.0
4528218662.966,-13.5673427010067,0.0,-2.094926756919787,0.0
4528233662.9655,-13.57680409193547,0.0,-2.13885019770589,0.0
4528248662.965,-13.561775318918443,0.0,-2.131295479365143,0.0
4528263662.9645,-13.562038370006944,0.0,-2.0887221969225584,0.0
4528278662.964,-13.566804813999408,0.0,-2.119447458456304,0.0
4528293662.9635,-13.575484876833684,0.0,-2.117133078547664,0.0
4528308662.963,-13.57292428172541,0.0,-2.1050602780831915,0.0
4528323662.9625,-13.561044004817669,0.0,-2.114464983400934,0.0
4528338662.962,-13.568594685039105,0.0,-2.172240324960811,0.0
4528353662.9615,-13.550911251504072,0.0,-2.059436256703696,0.0
4528368662.961,-13.565052530772741,0.0,-2.0813986820294117,0.0
4528383662.9605,-13.566881972174908,0.0,-2.059534506938266,0.0
4528398662.96,-13.56710723503081,0.0,-2.0436139789070333,0.0
4528413662.9595,-13.565174655722448,0.0,-2.102741710987328,0.0
4528428662.959,-13.561714895822082,0.0,-2.172690333672154,0.0
4528443662.9585,-13.56614736278193,0.0,-2.113005066081512,0.0
4528458662.958,-13.569841053183664,0.0,-2.077690515940289,0.0
4528473662.9575,-13.562263664199413,0.0,-2.1600372217021278,0.0
4528488662.957,-13.560111220143247,0.0,-2.1081764296774526,0.0
4528503662.9565,-13.56367725039781,0.0,-2.1395317494523547,0.0
4528518662.956,-13.559775110741754,0.0,-2.082645349040524,0.0
4528533662.9555,-13.557298068371214,0.0,-2.1103862069842165,0.0
4528548662.955,-13.569538937351801,0.0,-2.1265959986005663,0.0
4528563662.9545,-13.560603962050749,0.0,-2.122345122810031,0.0
4528578662.954,-13.563192574492827,0.0,-2.107550841276683,0.0
4528593662.9535,-13.55864509000659,0.0,-2.108866941410535,0.0
4528608662.953,-13.553048371632478,0.0,-2.1337224092515394,0.0
4528623662.9525,-13.561105064180268,0.0,-2.0676983241444837,0.0
4528638662.952,-13.575749283381107,0.0,-2.05938014596117,0.0
4528653662.9515,-13.565282295381301,0.0,-2.091585703061194,0.0
4528668662.951,-13.559423248356968,0.0,-2.1072365622493323,0.0
4528683662.9505,-13.573714937175518,0.0,-2.0950604531234216,0.0
4528698662.95,-13.548376236785082,0.0,-2.1394941402737206,0.0
4528713662.9495,-13.557664381798695,0.0,-2.146438944459226,0.0
4528728662.949,-13.558976654941988,0.0,-2.1643263887185475,0.0
4528743662.9485,-13.56080735725464,0.0,-2.1077908102546825,0.0
4528758662.948,-13.569725389230618,0.0,-2.0914505026356114,0.0
4528773662.9475,-13.566599829326176,0.0,-2.056989190698969,0.0
4528788662.947,-13.558064636640584,0.0,-2.10706655923659,0.0
4528803662.9465,-13.556954559229785,0.0,-2.0930232247848513,0.0
4528818662.946,-13.562960331718351,0.0,-2.120386727944958,0.0
4528833662.9455,-13.564133662634703,0.0,-2.1120100265902155,0.0
4528848662.945,-13.565045835698255,0.0,-2.080077019512379,0.0
4528863662.9445,-13.557945186164869,0.0,-2.1296623097536993,0.0
4528878662.944,-13.55381927875883,0.0,-2.1251373787406305,0.0
4528893662.9435,-13.558123357053184,0.0,-2.1336589289358807,0.0
4528908662.943,-13.564761301193904,0.0,-2.1153903968955796,0.0
4528923662.9425,-13.55472972270628,0.0,-2.138258852625691,0.0
4528938662.942,-13.557834128831196,0.0,-2.086697116586689,0.0
4528953662.9415,-13.557384164305432,0.0,-2.1519733916693435,0.0
4528968662.941,-13.563904334929147,0.0,-2.1402840440106163,0.0
4528983662.9405,-13.56780367613853,0.0,-2.071583343979801,0.0
4528998662.94,-13.555054056606226,0.0,-2.163637363165961,0.0
4529013662.9395,-13.555594809286102,0.0,-2.14263633586016,0.0
4529028662.939,-13.561646574097477,0.0,-2.1130323610493744,0.0
4529043662.9385,-13.55727568601312,0.0,-2.0983642366252955,0.0
4529058662.938,-13.559237148177761,0.0,-2.136505947048808,0.0
4529073662.9375,-13.567754101043892,0.0,-2.171019324020814,0.0
4529088662.937,-13.559363549521652,0.0,-2.0909499384428463,0.0
4529103662.9365,-13.55776896869098,0.0,-2.1301106460491135,0.0
4529118662.936,-13.557766822080602,0.0,-2.069110404371583,0.0
4529133662.9355,-13.559784286631933,0.0,-2.108938391676933,0.0
4529148662.935,-13.554485175398392,0.0,-2.110082110016815,0.0
4529163662.9345,-13.555631844310717,0.0,-2.078282122675922,0.0
4529178662.934,-13.556411096283883,0.0,-2.143219802614328,0.0
4529193662.9335,-13.55931329863533,0.0,-2.1296492001803307,0.0
4529208662.933,-13.563465249860581,0.0,-2.068078043331787,0.0
4529223662.9325,-13.552114889603146,0.0,-2.1430739632802225,0.0
4529238662.932,-13.548400339281619,0.0,-2.1220416828012287,0.0
4529253662.9315,-13.551069268040223,0.0,-2.1109734717293787,0.0
4529268662.931,-13.55310560789627,0.0,-2.1535576076365297,0.0
4529283662.9305,-13.551360115233928,0.0,-2.121684130997012,0.0
4529298662.93,-13.555411566147974,0.0,-2.1162143501526995,0.0
4529313662.9295,-13.551091788074315,0.0,-2.1057852207463332,0.0
4529328662.929,-13.55738847352314,0.0,-2.155038986054598,0.0
4529343662.9285,-13.552843055438718,0.0,-2.1377309938660183,0.0
4529358662.928,-13.55057106834597,0.0,-2.1104671653842075,0.0
4529373662.9275,-13.551918214709442,0.0,-2.115972702195611,0.0
4529388662.927,-13.543034020181686,0.0,-2.1746248862307413,0.0
4529403662.9265,-13.549725020312858,0.0,-2.088094921315218,0.0
4529418662.926,-13.547914879206635,0.0,-2.111113809644864,0.0
4529433662.9255,-13.548278136536586,0.0,-2.1312028425899454,0.0
4529448662.925,-13.55371975732715,0.0,-2.123193626026285,0.0
4529463662.9245,-13.551886791110926,0.0,-2.0999438413486606,0.0
4529478662.924,-13.54361744757535,0.0,-2.090135281259756,0.0
4529493662.9235,-13.546832786930521,0.0,-2.075573952348454,0.0
4529508662.923,-13.545131831425817,0.0,-2.129255343853743,0.0
4529523662.9225,-13.545822728884856,0.0,-2.1274181172396367,0.0
4529538662.922,-13.547017865178958,0.0,-2.200267289357076,0.0
4529553662.9215,-13.553983115584957,0.0,-2.094277110154172,0.0
4529568662.921,-13.551456779423876,0.0,-2.111682230701022,0.0
4529583662.9205,-13.547063590706669,0.0,-2.1565066841431935,0.0
4529598662.92,-13.547092897383482,0.0,-2.085879114859698,0.0
4529613662.9195,-13.566694875031972,0.0,-2.1580070833159577,0.0
4529628662.919,-13.54898650658312,0.0,-2.1677080562574993,0.0
4529643662.9185,-13.547563123938097,0.0,-2.120336671002799,0.0
4529658662.918,-13.5478413867434,0.0,-2.1823788764972165,0.0
4529673662.9175,-13.537828949895461,0.0,-2.108993690659165,0.0
4529688662.917,-13.548016716805263,0.0,-2.1696785257887523,0.0
4529703662.9165,-13.551825745539752,0.0,-2.151029099612087,0.0
4529718662.916,-13.552584484352773,0.0,-2.136354473489854,0.0
4529733662.9155,-13.549410036016504,0.0,-2.15263069103573,0.0
4529748662.915,-13.553565566005567,0.0,-2.07634710055665,0.0
4529763662.9145,-13.544816596638029,0.0,-2.0436230103321953,0.0
4529778662.914,-13.555979149722095,0.0,-2.141914444510418,0.0
4529793662.9135,-13.55065671838657,0.0,-2.138756456801118,0.0
4529808662.913,-13.543459056839076,0.0,-2.1489199192091806,0.0
