Frequency,S11,S11-Q,S11-Phase,S11-Phase-Q
4527198663.0,-13.440403130745688,0.0,-2.7298649293883583,0.0
4527213662.9995,-13.431913861548523,0.0,-2.7576541053762753,0.0
4527228662.999,-13.4297602115297,0.0,-2.737889970539109,0.0
4527243662.9985,-13.43540767062538,0.0,-2.7632948796789654,0.0
4527258662.998,-13.423062586144518,0.0,-2.738840888495022,0.0
4527273662.9975,-13.442465027450845,0.0,-2.722438892831753,0.0
4527288662.997,-13.436180660503146,0.0,-2.812700936876123,0.0
4527303662.9965,-13.435797296468676,0.0,-2.7949091829426336,0.0
4527318662.996,-13.430158399880963,0.0,-2.7438041287409125,0.0
4527333662.9955,-13.429798842986786,0.0,-2.76556733689733,0.0
4527348662.995,-13.432549547827383,0.0,-2.7783799650555374,0.0
4527363662.9945,-13.427780460266494,0.0,-2.793910323853347,0.0
4527378662.994,-13.439468697470605,0.0,-2.7427105883136162,0.0
4527393662.9935,-13.428053058598264,0.0,-2.856382234169544,0.0
4527408662.993,-13.441454119086558,0.0,-2.7754738746787155,0.0
4527423662.9925,-13.431801688326885,0.0,-2.7511857273540654,0.0
4527438662.992,-13.435571848793874,0.0,-2.771568360447041,0.0
4527453662.9915,-13.436599977719935,0.0,-2.7664764975291503,0.0
4527468662.991,-13.43353329044508,0.0,-2.848634090561501,0.0
4527483662.9905,-13.431191003153378,0.0,-2.8172347399709308,0.0
4527498662.99,-13.428713930351929,0.0,-2.804016389559221,0.0
4527513662.9895,-13.43633849964627,0.0,-2.8210970837897142,0.0
4527528662.989,-13.433668526103927,0.0,-2.8238433700316565,0.0
4527543662.9885,-13.436938428087611,0.0,-2.7747961224372424,0.0
4527558662.988,-13.43494297429643,0.0,-2.7831622839591676,0.0
4527573662.9875,-13.437607461824527,0.0,-2.8164585865283787,0.0
4527588662.987,-13.42670057900165,0.0,-2.7775584128283564,0.0
4527603662.9865,-13.435038924530978,0.0,-2.833165373835918,0.0
4527618662.986,-13.432326217157861,0.0,-2.7791026303156166,0.0
4527633662.9855,-13.445095203299484,0.0,-2.8137437252679507,0.0
4527648662.985,-13.43695418152901,0.0,-2.857962992041552,0.0
4527663662.9845,-13.441607177818451,0.0,-2.8620950461960395,0.0
4527678662.984,-13.43936590060215,0.0,-2.764311117297872,0.0
4527693662.9835,-13.431236799082418,0.0,-2.8291133382168314,0.0
4527708662.983,-13.424340893286168,0.0,-2.813968505216056,0.0
4527723662.9825,-13.444023693108441,0.0,-2.8605763549234764,0.0
4527738662.982,-13.428430399214598,0.0,-2.843136533534807,0.0
4527753662.9815,-13.42140259030964,0.0,-2.8448097418376426,0.0
4527768662.981,-13.444139253914368,0.0,-2.8890604799112416,0.0
4527783662.9805,-13.445226645580494,0.0,-2.838149715499547,0.0
4527798662.98,-13.441207919134346,0.0,-2.813318633820145,0.0
4527813662.9795,-13.436069710046947,0.0,-2.8648445960165914,0.0
4527828662.979,-13.443545318981167,0.0,-2.876588884311379,0.0
4527843662.9785,-13.426319335668735,0.0,-2.8922396563864274,0.0
4527858662.978,-13.43695668844215,0.0,-2.902834455720567,0.0
4527873662.9775,-13.42344960363836,0.0,-2.8839714009342985,0.0
4527888662.977,-13.427879436422145,0.0,-2.923941993997034,0.0
4527903662.9765,-13.440670847807962,0.0,-2.8858291430781597,0.0
4527918662.976,-13.43467657750267,0.0,-2.8921374563932076,0.0
4527933662.9755,-13.436394535428223,0.0,-2.8703065408209802,0.0
4527948662.975,-13.435750169920347,0.0,-2.8458575266820514,0.0
4527963662.9745,-13.433153227999863,0.0,-2.936258230577912,0.0
4527978662.974,-13.433887464521522,0.0,-2.9301552172752796,0.0
4527993662.9735,-13.440310555432035,0.0,-2.9381665999820563,0.0
4528008662.973,-13.43751276543194,0.0,-2.8810204739089005,0.0
4528023662.9725,-13.440358751749814,0.0,-2.861691855627868,0.0
4528038662.972,-13.442085999631514,0.0,-2.9204499148298275,0.0
4528053662.9715,-13.441714206868813,0.0,-2.862586427686118,0.0
4528068662.971,-13.437932459745115,0.0,-2.930583844589525,0.0
4528083662.9705,-13.438506670690437,0.0,-2.9248571824322664,0.0
4528098662.97,-13.432414815321149,0.0,-2.880856676303627,0.0
4528113662.9695,-13.437669332934892,0.0,-2.952376756642582,0.0
4528128662.969,-13.425825454531529,0.0,-2.975913809318139,0.0
4528143662.9685,-13.443157296969224,0.0,-2.961774093518339,0.0
4528158662.968,-13.438100440353578,0.0,-2.956204898536201,0.0
4528173662.9675,-13.434681357279295,0.0,-3.052451421815542,0.0
4528188662.967,-13.44788085356897,0.0,-2.943382734382035,0.0
4528203662.9665,-13.431108943677685,0.0,-2.9398482046185483,0.0
4528218662.966,-13.436333798902977,0.0,-2.964000002806848,0.0
4528233662.9655,-13.43337719100331,0.0,-2.965760592814869,0.0
4528248662.965,-13.436572966242451,0.0,-2.973092110082352,0.0
4528263662.9645,-13.430877075092909,0.0,-2.9561574985028543,0.0
4528278662.964,-13.429073318071572,0.0,-2.9304877258352535,0.0
4528293662.9635,-13.44234336515488,0.0,-2.9968987254366604,0.0
4528308662.963,-13.44222936836909,0.0,-3.021914389214523,0.0
4528323662.9625,-13.431983536313293,0.0,-2.9363657101581,0.0
4528338662.962,-13.442662195076462,0.0,-2.970405424615642,0.0
4528353662.9615,-13.436284195214302,0.0,-3.0134044319289015,0.0
4528368662.961,-13.433215579244349,0.0,-2.9685904178008053,0.0
4528383662.9605,-13.439568553569588,0.0,-2.9976665679735723,0.0
4528398662.96,-13.441316815543608,0.0,-2.9886148990716483,0.0
4528413662.9595,-13.43294872414415,0.0,-2.9913524118312744,0.0
4528428662.959,-13.439793997040614,0.0,-3.0312748191264576,0.0
4528443662.9585,-13.439872794150434,0.0,-3.0084977395069408,0.0
4528458662.958,-13.433875735722687,0.0,-2.9854107352686334,0.0
4528473662.9575,-13.432910485438804,0.0,-2.9760715139835963,0.0
4528488662.957,-13.450116232561921,0.0,-3.03136758027471,0.0
