Frequency,S11,S11-Q,S11-Phase,S11-Phase-Q
4527198663.0,-13.417269747714187,0.0,-2.5521490386799175,0.0
4527213662.9995,-13.425118845725539,0.0,-2.5888833204722426,0.0
4527228662.999,-13.420608909540492,0.0,-2.554636057046668,0.0
4527243662.9985,-13.42538554011105,0.0,-2.5809222063437924,0.0
4527258662.998,-13.415802824019078,0.0,-2.5895909861324173,0.0
4527273662.9975,-13.42277986439795,0.0,-2.637147996495004,0.0
4527288662.997,-13.427247641705055,0.0,-2.5819110140479493,0.0
4527303662.9965,-13.421679320788682,0.0,-2.549501734960754,0.0
4527318662.996,-13.42173166532168,0.0,-2.5725597301918737,0.0
4527333662.9955,-13.426734467510599,0.0,-2.5747726971143954,0.0
4527348662.995,-13.433075009898436,0.0,-2.557650537633556,0.0
4527363662.9945,-13.416720131613724,0.0,-2.617575699838629,0.0
4527378662.994,-13.419197502832303,0.0,-2.605705833553063,0.0
4527393662.9935,-13.422005262750345,0.0,-2.635180728552541,0.0
4527408662.993,-13.422424087210356,0.0,-2.5691510859087368,0.0
4527423662.9925,-13.41810963619708,0.0,-2.6025434075483007,0.0
4527438662.992,-13.428074741206466,0.0,-2.6364314456672613,0.0
4527453662.9915,-13.44068126623947,0.0,-2.664371442157158,0.0
4527468662.991,-13.42536811265386,0.0,-2.5875921578952052,0.0
4527483662.9905,-13.420440414926762,0.0,-2.577722082900223,0.0
4527498662.99,-13.425117484419122,0.0,-2.5410468050498465,0.0
4527513662.9895,-13.418823473241856,0.0,-2.61824423766158,0.0
4527528662.989,-13.420861031140829,0.0,-2.650171429324296,0.0
4527543662.9885,-13.428863689907747,0.0,-2.6324161616193256,0.0
4527558662.988,-13.428269618366475,0.0,-2.673572676286286,0.0
4527573662.9875,-13.418355602233799,0.0,-2.6218154551059794,0.0
4527588662.987,-13.424420580625673,0.0,-2.5703018420361685,0.0
4527603662.9865,-13.422744639267526,0.0,-2.6885663123581973,0.0
4527618662.986,-13.41980127717628,0.0,-2.6828872793127383,0.0
4527633662.9855,-13.420483776079347,0.0,-2.560383765606714,0.0
4527648662.985,-13.430884257841342,0.0,-2.6173321051604246,0.0
4527663662.9845,-13.42694410016308,0.0,-2.6571746980961084,0.0
4527678662.984,-13.427733272085245,0.0,-2.630680510767878,0.0
4527693662.9835,-13.42633281969327,0.0,-2.6542004387627425,0.0
4527708662.983,-13.429249268737344,0.0,-2.5772136926729963,0.0
4527723662.9825,-13.437253484837674,0.0,-2.6109284845776295,0.0
4527738662.982,-13.42615901619601,0.0,-2.6604161126943855,0.0
4527753662.9815,-13.420449133552104,0.0,-2.629943529710754,0.0
4527768662.981,-13.429685531500624,0.0,-2.610287894600959,0.0
4527783662.9805,-13.417451313959518,0.0,-2.650367169982817,0.0
4527798662.98,-13.420181419393312,0.0,-2.688852119505993,0.0
4527813662.9795,-13.419634577388662,0.0,-2.674512979542382,0.0
4527828662.979,-13.430064912272035,0.0,-2.695084328394992,0.0
4527843662.9785,-13.433591024147756,0.0,-2.711770566682968,0.0
4527858662.978,-13.438275472309229,0.0,-2.634155563393925,0.0
4527873662.9775,-13.424063706900215,0.0,-2.6795829175042334,0.0
4527888662.977,-13.422775293656564,0.0,-2.700706921854434,0.0
4527903662.9765,-13.435665508789773,0.0,-2.700460157948816,0.0
4527918662.976,-13.425714054507482,0.0,-2.679629529628343,0.0
4527933662.9755,-13.431991858598227,0.0,-2.694640790360745,0.0
4527948662.975,-13.424642802508961,0.0,-2.68579460520694,0.0
4527963662.9745,-13.432526916851437,0.0,-2.688723976305744,0.0
4527978662.974,-13.433320546626486,0.0,-2.686238378002313,0.0
4527993662.9735,-13.421128719101173,0.0,-2.7327924296733226,0.0
4528008662.973,-13.42815704492496,0.0,-2.6717186167984677,0.0
4528023662.9725,-13.434621421821156,0.0,-2.7102387591442,0.0
4528038662.972,-13.431072308488632,0.0,-2.7227113355361507,0.0
4528053662.9715,-13.42700816533313,0.0,-2.7217730703166145,0.0
4528068662.971,-13.430675236925076,0.0,-2.7056967202020115,0.0
4528083662.9705,-13.422971989372465,0.0,-2.6573396804532385,0.0
4528098662.97,-13.417563537127474,0.0,-2.7203037940645265,0.0
4528113662.9695,-13.423755333715564,0.0,-2.707617345177384,0.0
4528128662.969,-13.42412628191308,0.0,-2.703381900385052,0.0
4528143662.9685,-13.431429889572255,0.0,-2.726174604674578,0.0
4528158662.968,-13.433532877317326,0.0,-2.7642487483194906,0.0
4528173662.9675,-13.426768680763628,0.0,-2.724840544027995,0.0
4528188662.967,-13.436231800864817,0.0,-2.6774580979400446,0.0
4528203662.9665,-13.431685015172574,0.0,-2.7341812286166216,0.0
4528218662.966,-13.419801212911258,0.0,-2.675740792205919,0.0
4528233662.9655,-13.432188478211762,0.0,-2.719179172095445,0.0
4528248662.965,-13.435045377099538,0.0,-2.7595465165853157,0.0
4528263662.9645,-13.433024141761031,0.0,-2.763455135933778,0.0
4528278662.964,-13.430706416708787,0.0,-2.8408928327080707,0.0
4528293662.9635,-13.437942926140689,0.0,-2.74616661445308,0.0
4528308662.963,-13.431172725741744,0.0,-2.7753419212702517,0.0
4528323662.9625,-13.427183742261429,0.0,-2.787100486680762,0.0
4528338662.962,-13.430666093509924,0.0,-2.7678692937082294,0.0
4528353662.9615,-13.431479485431343,0.0,-2.7598813021244393,0.0
4528368662.961,-13.420419081156796,0.0,-2.7550066732823564,0.0
4528383662.9605,-13.42632355835309,0.0,-2.7611634933294043,0.0
4528398662.96,-13.422249875872092,0.0,-2.734925691973708,0.0
4528413662.9595,-13.42736578021919,0.0,-2.7876985649686925,0.0
4528428662.959,-13.435601687191458,0.0,-2.780118231310093,0.0
4528443662.9585,-13.428510775039744,0.0,-2.757353668956291,0.0
4528458662.958,-13.438085968390114,0.0,-2.760737011539674,0.0
4528473662.9575,-13.435019374020245,0.0,-2.7609017615485105,0.0
4528488662.957,-13.42164199791551,0.0,-2.753490409651603,0.0
4528503662.9565,-13.429326015687902,0.0,-2.8244591564335373,0.0
4528518662.956,-13.436979930955593,0.0,-2.7806945966132477,0.0
4528533662.9555,-13.427563755083058,0.0,-2.747460421897569,0.0
4528548662.955,-13.438489825421321,0.0,-2.774472859496658,0.0
4528563662.9545,-13.422797264378731,0.0,-2.7929326628740396,0.0
4528578662.954,-13.432091100434203,0.0,-2.764189823033125,0.0
4528593662.9535,-13.429437521541663,0.0,-2.7537490023924356,0.0
4528608662.953,-13.42447880998937,0.0,-2.7988900436063804,0.0
4528623662.9525,-13.435058191675406,0.0,-2.7808732571198678,0.0
4528638662.952,-13.433931468683838,0.0,-2.7999692959095843,0.0
4528653662.9515,-13.421194821393772,0.0,-2.8502715277859383,0.0
4528668662.951,-13.427860147422079,0.0,-2.814104023513708,0.0
4528683662.9505,-13.422420075173488,0.0,-2.7948212609090524,0.0
4528698662.95,-13.41875115599355,0.0,-2.7537249141128943,0.0
4528713662.9495,-13.434999664156246,0.0,-2.7849941567556216,0.0
4528728662.949,-13.417572425645739,0.0,-2.769314992411799,0.0
4528743662.9485,-13.432626411001642,0.0,-2.7950660549300577,0.0
4528758662.948,-13.43064830980195,0.0,-2.7714940681478435,0.0
4528773662.9475,-13.43395563336351,0.0,-2.8326229841116035,0.0
4528788662.947,-13.436864353056182,0.0,-2.7975008294444343,0.0
4528803662.9465,-13.424215541948572,0.0,-2.8355934453345597,0.0
4528818662.946,-13.430016144402451,0.0,-2.892334261067109,0.0
4528833662.9455,-13.423182837661331,0.0,-2.8219467996546324,0.0
4528848662.945,-13.426195870308305,0.0,-2.9014996280040277,0.0
4528863662.9445,-13.425138543743088,0.0,-2.7997157021230654,0.0
4528878662.944,-13.426178503773396,0.0,-2.844577708955135,0.0
4528893662.9435,-13.433265318165208,0.0,-2.8778608464237028,0.0
4528908662.943,-13.425081051565899,0.0,-2.846696749522615,0.0
4528923662.9425,-13.420237079664014,0.0,-2.871061637249768,0.0
4528938662.942,-13.42352644933107,0.0,-2.8418768773046374,0.0
4528953662.9415,-13.421731319474521,0.0,-2.823276234438717,0.0
4528968662.941,-13.43096533016139,0.0,-2.8689612220118383,0.0
4528983662.9405,-13.433849204626805,0.0,-2.811429450156798,0.0
4528998662.94,-13.431960106459195,0.0,-2.8327650713979677,0.0
4529013662.9395,-13.43096199855063,0.0,-2.865161599740275,0.0
4529028662.939,-13.435273869397633,0.0,-2.837808971796188,0.0
4529043662.9385,-13.431344909800353,0.0,-2.9231510965440592,0.0
4529058662.938,-13.423220823112743,0.0,-2.9508722324242393,0.0
4529073662.9375,-13.435586068887286,0.0,-2.825019376343945,0.0
4529088662.937,-13.434147940763875,0.0,-2.8436101872927,0.0
4529103662.9365,-13.433330668186859,0.0,-2.912335933261812,0.0
4529118662.936,-13.432891204388408,0.0,-2.8954403759571923,0.0
4529133662.9355,-13.42521198361002,0.0,-2.810494304814106,0.0
4529148662.935,-13.437535504817376,0.0,-2.875022374878515,0.0
4529163662.9345,-13.426519305846314,0.0,-2.9258812221281523,0.0
4529178662.934,-13.420272435189105,0.0,-2.922983717424933,0.0
4529193662.9335,-13.433572404743748,0.0,-2.907549941729305,0.0
4529208662.933,-13.439279287591084,0.0,-2.8896275105785234,0.0
4529223662.9325,-13.428528476679782,0.0,-2.877146310279698,0.0
4529238662.932,-13.42804557860119,0.0,-2.864888447980576,0.0
4529253662.9315,-13.421344252360639,0.0,-2.948227225768424,0.0
4529268662.931,-13.438439909731194,0.0,-2.88188119808327,0.0
4529283662.9305,-13.428789673946028,0.0,-2.956495811352977,0.0
4529298662.93,-13.43322906786327,0.0,-2.984552808758008,0.0
4529313662.9295,-13.434078464965019,0.0,-2.915799295775949,0.0
4529328662.929,-13.420814746353125,0.0,-2.909497266598391,0.0
4529343662.9285,-13.43557883051673,0.0,-2.916893828044191,0.0
4529358662.928,-13.424873566489147,0.0,-2.881987976573966,0.0
4529373662.9275,-13.430492600649671,0.0,-2.980857823324349,0.0
4529388662.927,-13.428750769896144,0.0,-2.9224592825425844,0.0
4529403662.9265,-13.43578091043722,0.0,-2.8955426184077178,0.0
4529418662.926,-13.429954330853493,0.0,-2.958165541536126,0.0
4529433662.9255,-13.430561683457006,0.0,-2.91619681156508,0.0
4529448662.925,-13.42125984840428,0.0,-2.9491246068732018,0.0
4529463662.9245,-13.427126795611974,0.0,-3.0050346914424937,0.0
4529478662.924,-13.436886836335473,0.0,-2.944469057211123,0.0
4529493662.9235,-13.431179393709396,0.0,-2.9409992134283303,0.0
4529508662.923,-13.431420933987877,0.0,-2.9715322914514277,0.0
4529523662.9225,-13.425905749349171,0.0,-2.9502601195693257,0.0
4529538662.922,-13.43556731409498,0.0,-3.002559954700791,0.0
4529553662.9215,-13.43196129580637,0.0,-3.002744852218238,0.0
4529568662.921,-13.434824373774196,0.0,-3.032114424906881,0.0
4529583662.9205,-13.429266921605878,0.0,-3.0034083777915233,0.0
4529598662.92,-13.428686312414133,0.0,-2.9678436541542803,0.0
4529613662.9195,-13.43596201395766,0.0,-2.9784344373783616,0.0
4529628662.919,-13.427280393234566,0.0,-2.9745562838778374,0.0
4529643662.9185,-13.436606050142528,0.0,-2.9530195323351913,0.0
4529658662.918,-13.42905965551214,0.0,-3.0024781646107725,0.0
4529673662.9175,-13.43296448152833,0.0,-3.044132058090043,0.0
4529688662.917,-13.425605034816305,0.0,-3.0713834341474864,0.0
4529703662.9165,-13.420364232160399,0.0,-3.048719491745919,0.0
4529718662.916,-13.433480406047334,0.0,-3.0048260039003196,0.0
4529733662.9155,-13.433154525884456,0.0,-3.0393595827127227,0.0
4529748662.915,-13.434307918452308,0.0,-3.0024955195212994,0.0
4529763662.9145,-13.431196574323733,0.0,-3.055321090853911,0.0
4529778662.914,-13.43926171265088,0.0,-3.0287223670230086,0.0
4529793662.9135,-13.43351559725489,0.0,-3.057246145944078,0.0
4529808662.913,-13.426359364483485,0.0,-3.0471278654745926,0.0
4529823662.9125,-13.435083251223634,0.0,-3.0692797424706817,0.0
4529838662.912,-13.427531097429295,0.0,-3.02652739899767,0.0
4529853662.9115,-13.43052248047795,0.0,-3.0497621436892626,0.0
4529868662.911,-13.423443347460644,0.0,-3.043290394444097,0.0
4529883662.9105,-13.436162240670713,0.0,-3.102359128128895,0.0
4529898662.91,-13.42814719314343,0.0,-3.0305633365867806,0.0
4529913662.9095,-13.439660408485853,0.0,-3.0309237844537247,0.0
4529928662.909,-13.437853225432546,0.0,-3.052206265143224,0.0
4529943662.9085,-13.43039631626578,0.0,-3.036378361784014,0.0
4529958662.908,-13.437760468022404,0.0,-3.081894578507018,0.0
4529973662.9075,-13.425407747911454,0.0,-3.071143230093504,0.0
4529988662.907,-13.42785208034158,0.0,-3.0966754533772654,0.0
4530003662.9065,-13.42053472623524,0.0,-3.0978141195122886,0.0
4530018662.906,-13.433061836526502,0.0,-3.106951593594662,0.0
4530033662.9055,-13.434390567651587,0.0,-3.042886420865539,0.0
4530048662.905,-13.433983667914118,0.0,-3.1147694830828283,0.0
4530063662.9045,-13.444424198748653,0.0,-3.0843020398532994,0.0
4530078662.904,-13.43270800831402,0.0,-3.1176475131410717,0.0
4530093662.9035,-13.433932454256887,0.0,-3.088677459045522,0.0
4530108662.903,-13.431199866475314,0.0,-3.1100402674097785,0.0
4530123662.9025,-13.42891960916762,0.0,-3.076038162995452,0.0
4530138662.902,-13.432419550798224,0.0,-3.0474670342017944,0.0
4530153662.9015,-13.430408359863627,0.0,-3.1328076913772773,0.0
4530168662.901,-13.439722510344394,0.0,-3.080687271662733,0.0
4530183662.9005,-13.433397428598703,0.0,-3.1022063732458336,0.0
4530198662.9,-13.43423834194887,0.0,-3.089918841934026,0.0
4530213662.8995,-13.43519897620029,0.0,-3.2061655400275533,0.0
4530228662.899,-13.435519317521084,0.0,-3.130642102065432,0.0
4530243662.8985,-13.432892913348972,0.0,-3.1223683878293373,0.0
4530258662.898,-13.426123897545363,0.0,-3.1076882677192756,0.0
4530273662.8975,-13.432706391851394,0.0,-3.1289907553687275,0.0
